"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000068366","ACSL4",14022.7800594136,1585,13715.765159902,1590,0.0223840883780337,0.061730284421458,5,0.11700179712992
"ENSG00000068615","REEP1",10606.4995999769,1956,10491.0821820748,1957,0.0110014787701596,-0.155407727028335,1,0.0234003594259841
"ENSG00000068903","SIRT2",22245.3532073889,543,22096.7722588636,518,0.00672410190885487,-0.237004227117608,-25,-0.585008985649602
"ENSG00000069275","NUCKS1",21103.8076200476,623,20799.4442271287,621,0.0146332464269367,-0.0861270581653053,-2,-0.0468007188519682
"ENSG00000069329","VPS35",16751.5678380123,1167,16538.5191335528,1165,0.0128819698268729,-0.119534926091599,-2,-0.0468007188519682
"ENSG00000069424","KCNAB2",21951.8186329893,564,21780.3382567804,547,0.00787317323483499,-0.215084204264087,-17,-0.397806110241729
"ENSG00000069535","MAOB",12163.8435903571,1815,12119.3892948243,1798,0.00366803099161042,-0.295302735515976,-17,-0.397806110241729
"ENSG00000070087","PFN2",28309.2101456728,250,27448.1719609525,251,0.0313696003488028,0.233140555739329,1,0.0234003594259841
"ENSG00000070214","SLC44A1",20847.7733882604,655,20626.4084078507,647,0.0107321146770973,-0.160546195757251,-8,-0.187202875407873
"ENSG00000070413","DGCR2",14424.3239212444,1531,14372.7779879527,1508,0.00358635841554023,-0.296860745618123,-23,-0.538208266797634
"ENSG00000070718","AP3M2",11643.0891151547,1869,11586.2705660162,1853,0.00490395497107566,-0.271725885878741,-16,-0.374405750815745
"ENSG00000070808","CAMK2A",29453.4096588071,213,29099.7165146006,200,0.0121545219874925,-0.133411935206208,-13,-0.304204672537793
"ENSG00000070831","CDC42",18399.0066142596,916,18257.0154893298,900,0.00777734592013797,-0.21691223432685,-16,-0.374405750815745
"ENSG00000070961","ATP2B1",22957.3081808002,476,21511.0273786381,566,0.0672343899110236,0.917307838540512,90,2.10603234833857
"ENSG00000071054","MAP4K4",13545.7618639294,1630,13401.3122774016,1629,0.0107787643133562,-0.15965629356425,-1,-0.0234003594259841
"ENSG00000071082","RPL31",26837.0581584218,297,26780.6318962535,281,0.00210698023806289,-0.325081799199495,-16,-0.374405750815745
"ENSG00000071127","WDR1",15069.9343439871,1438,14985.1816140802,1418,0.00565576928526192,-0.257384054718252,-20,-0.468007188519682
"ENSG00000071553","ATP6AP1",19295.9829658572,817,19078.6947110926,808,0.0113890524511754,-0.148014257403597,-9,-0.210603234833857
"ENSG00000072062","PRKACA",12782.4787603103,1737,12638.3197770747,1732,0.0114064991057661,-0.147681439885051,-5,-0.11700179712992
